,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
627,2011-12-0314,New York Knicks,Portland Trail Blazers,200.5,3.5,-250,210,200,42
628,2011-12-0314,New Orleans Pelicans,Los Angeles Lakers,180,6,165,-185,208,-6
629,2011-12-0314,Houston Rockets,Charlotte Bobcats,192,9.5,-380,310,194,20
630,2011-12-0314,Milwaukee Bucks,Cleveland Cavaliers,204,5.5,-300,250,220,10
631,2011-12-0314,Chicago Bulls,Miami Heat,192,2.5,130,-150,208,4
632,2011-12-0314,San Antonio Spurs,Orlando Magic,191,5.5,-350,290,233,11
633,2011-12-0314,Sacramento Kings,Detroit Pistons,198,4.5,-165,145,236,-12
634,2011-12-0314,Golden State Warriors,Boston Celtics,189,1,180,-220,208,-2
635,2011-12-0314,Los Angeles Clippers,Atlanta Hawks,185,6.5,-290,245,178,14
636,2011-12-0314,Phoenix Suns,Utah Jazz,198,4,-190,165,231,9
637,2011-12-0315,New Orleans Pelicans,Washington Wizards,193,4,-170,150,188,-10
638,2011-12-0315,Dallas Mavericks,Charlotte Bobcats,187.5,13.5,-2105,1305,197,5
639,2011-12-0315,Denver Nuggets,Oklahoma City Thunder,211,1,115,-135,193,-13
640,2011-12-0315,Utah Jazz,Minnesota Timberwolves,201,4,-145,125,216,6
641,2011-12-0315,Los Angeles Clippers,Phoenix Suns,195,7.5,-625,465,178,-4
642,2011-12-0316,Orlando Magic,New Jersey Nets,191,11.5,-1050,650,156,16
643,2011-12-0316,Philadelphia 76ers,Miami Heat,190.5,3.5,150,-170,162,-6
644,2011-12-0316,New York Knicks,Indiana Pacers,198.5,5,-190,165,215,15
645,2011-12-0316,Atlanta Hawks,Washington Wizards,197,10,-870,570,190,14
646,2011-12-0316,Memphis Grizzlies,Toronto Raptors,187.5,9.5,-610,450,224,-4
647,2011-12-0316,Chicago Bulls,Portland Trail Blazers,192,9,-450,350,189,-11
648,2011-12-0316,Oklahoma City Thunder,San Antonio Spurs,206.5,4.5,-225,185,219,-9
649,2011-12-0316,Sacramento Kings,Boston Celtics,194,3.5,160,-180,215,25
650,2011-12-0316,Phoenix Suns,Detroit Pistons,196,5,-190,165,210,8
651,2011-12-0316,Golden State Warriors,Milwaukee Bucks,206.5,1,110,-130,218,-22
652,2011-12-0316,Los Angeles Lakers,Minnesota Timberwolves,195,8.5,-355,285,189,5
653,2011-12-0317,Los Angeles Clippers,Houston Rockets,196,8,-340,280,186,4
654,2011-12-0317,Charlotte Bobcats,Toronto Raptors,185,3,-105,-115,210,4
655,2011-12-0317,Indiana Pacers,New York Knicks,197.5,4,-185,165,190,-14
656,2011-12-0317,Chicago Bulls,Philadelphia 76ers,185,5.5,-180,160,169,9
657,2011-12-0317,New Jersey Nets,New Orleans Pelicans,185,4,-150,130,196,-8
658,2011-12-0317,Dallas Mavericks,San Antonio Spurs,195.5,1,-155,135,205,7
659,2011-12-0317,Denver Nuggets,Boston Celtics,196.5,4,-260,220,189,7
660,2011-12-0317,Utah Jazz,Golden State Warriors,202,6,-345,285,191,7
661,2011-12-0318,Cleveland Cavaliers,Atlanta Hawks,191,1,120,-140,190,-16
662,2011-12-0318,Los Angeles Clippers,Detroit Pistons,190.5,8.5,-320,260,170,4
663,2011-12-0318,Memphis Grizzlies,Washington Wizards,200.5,12,-1150,750,189,5
664,2011-12-0318,Sacramento Kings,Minnesota Timberwolves,209.5,0,105,-125,214,16
665,2011-12-0318,Miami Heat,Orlando Magic,188.5,9,-500,400,172,10
666,2011-12-0318,Phoenix Suns,Houston Rockets,202.5,5.5,-240,200,185,13
667,2011-12-0318,Oklahoma City Thunder,Portland Trail Blazers,199.5,9,-500,400,206,16
668,2011-12-0318,Los Angeles Lakers,Utah Jazz,194.5,10.5,-800,600,202,-4
669,2011-12-0319,Charlotte Bobcats,Philadelphia 76ers,185,9,450,-600,185,-25
670,2011-12-0319,Atlanta Hawks,Boston Celtics,183,2,-125,105,155,-3
671,2011-12-0319,New Jersey Nets,Cleveland Cavaliers,196.5,3.5,-175,155,205,-5
672,2011-12-0319,Orlando Magic,Chicago Bulls,184,1,-130,110,144,-26
673,2011-12-0319,Denver Nuggets,Dallas Mavericks,201.5,4,-185,165,207,-17
674,2011-12-0319,Golden State Warriors,Minnesota Timberwolves,205.5,1,-125,105,190,-4
675,2011-12-0320,Indiana Pacers,Los Angeles Clippers,187,3,-165,145,191,13
676,2011-12-0320,Miami Heat,Phoenix Suns,198,11.5,-725,525,194,4
677,2011-12-0320,New York Knicks,Toronto Raptors,198,8.5,-450,350,193,19
678,2011-12-0320,Houston Rockets,Los Angeles Lakers,192,3,130,-150,211,3
679,2011-12-0320,Utah Jazz,Oklahoma City Thunder,204,3,130,-150,187,7
680,2011-12-0320,Sacramento Kings,Memphis Grizzlies,202,3.5,130,-150,229,9
681,2011-12-0320,Portland Trail Blazers,Milwaukee Bucks,203,4.5,-165,145,203,-29
682,2011-12-0321,Philadelphia 76ers,New York Knicks,193,5,-170,150,161,-3
683,2011-12-0321,Toronto Raptors,Chicago Bulls,186,6.5,290,-350,176,-12
684,2011-12-0321,Orlando Magic,Phoenix Suns,192.5,8,-375,305,196,10
685,2011-12-0321,Atlanta Hawks,Cleveland Cavaliers,190,7.5,-330,270,205,1
686,2011-12-0321,New Jersey Nets,Washington Wizards,203.5,5,-200,170,197,-19
687,2011-12-0321,New Orleans Pelicans,Golden State Warriors,188,2,-130,110,193,-9
688,2011-12-0321,Oklahoma City Thunder,Los Angeles Clippers,198,8,-475,375,205,23
689,2011-12-0321,San Antonio Spurs,Minnesota Timberwolves,207,9.5,-550,425,216,16
690,2011-12-0321,Denver Nuggets,Detroit Pistons,202,9,-400,320,231,1
691,2011-12-0321,Dallas Mavericks,Los Angeles Lakers,188,4.5,-180,160,202,-16
692,2011-12-0322,Washington Wizards,Indiana Pacers,199.5,7,250,-300,168,-2
693,2011-12-0322,Milwaukee Bucks,Boston Celtics,200.5,3.5,-175,155,191,-9
694,2011-12-0322,Houston Rockets,Golden State Warriors,197,7,-350,290,192,26
695,2011-12-0322,New Orleans Pelicans,Los Angeles Clippers,181.5,3.5,165,-185,187,7
696,2011-12-0322,Portland Trail Blazers,Memphis Grizzlies,194,0,100,-120,190,4
697,2011-12-0322,Sacramento Kings,Utah Jazz,210.5,1,-130,110,205,-1
698,2011-12-0323,Toronto Raptors,New York Knicks,194,5,200,-240,175,17
699,2011-12-0323,Charlotte Bobcats,Milwaukee Bucks,200,6.5,260,-320,204,-20
700,2011-12-0323,Orlando Magic,Cleveland Cavaliers,192.5,9,-500,400,173,13
701,2011-12-0323,Indiana Pacers,Phoenix Suns,195.5,5.5,-160,140,224,-2
702,2011-12-0323,Detroit Pistons,Miami Heat,194,9,350,-450,161,-15
703,2011-12-0323,Atlanta Hawks,New Jersey Nets,187.5,8,-300,250,177,9
704,2011-12-0323,Philadelphia 76ers,Boston Celtics,179.5,5.5,-310,255,185,13
705,2011-12-0323,Oklahoma City Thunder,Minnesota Timberwolves,210.5,10.5,-650,475,289,9
706,2011-12-0323,San Antonio Spurs,Dallas Mavericks,200,4.5,-170,150,191,17
707,2011-12-0323,Los Angeles Lakers,Portland Trail Blazers,195.5,9,-550,425,199,7
708,2011-12-0323,Utah Jazz,Denver Nuggets,208,2.5,-130,110,223,19
709,2011-12-0324,Los Angeles Clippers,Memphis Grizzlies,190.5,3.5,-130,110,186,16
710,2011-12-0324,Washington Wizards,Atlanta Hawks,192,4,130,-150,187,-3
711,2011-12-0324,New York Knicks,Detroit Pistons,195,10.5,-750,550,180,22
712,2011-12-0324,New Jersey Nets,Charlotte Bobcats,192,6,-250,210,191,13
713,2011-12-0324,Houston Rockets,Dallas Mavericks,195,1.5,-150,130,200,-2
714,2011-12-0324,New Orleans Pelicans,San Antonio Spurs,190.5,6,175,-210,175,-3
715,2011-12-0324,Chicago Bulls,Toronto Raptors,184,13.5,-1100,750,203,1
716,2011-12-0324,Milwaukee Bucks,Indiana Pacers,201.5,3,-185,165,229,-21
717,2011-12-0324,Golden State Warriors,Sacramento Kings,207,2.5,-125,105,219,3
718,2011-12-0325,Cleveland Cavaliers,Phoenix Suns,199.5,3,155,-175,191,-25
719,2011-12-0325,Minnesota Timberwolves,Denver Nuggets,212,0,-125,105,217,17
720,2011-12-0325,Atlanta Hawks,Utah Jazz,192,2,-110,-110,272,6
721,2011-12-0325,Boston Celtics,Washington Wizards,193.5,11,-550,425,164,12
722,2011-12-0325,San Antonio Spurs,Philadelphia 76ers,191,3,-145,125,169,17
723,2011-12-0325,Oklahoma City Thunder,Miami Heat,200,1,-125,105,190,16
724,2011-12-0325,Portland Trail Blazers,Golden State Warriors,197.5,9,-600,450,177,3
725,2011-12-0325,Los Angeles Lakers,Memphis Grizzlies,193,6.5,-300,250,198,-6
726,2011-12-0326,Toronto Raptors,Orlando Magic,183,5,210,-250,218,-16
727,2011-12-0326,Indiana Pacers,Miami Heat,193,3,150,-170,195,15
728,2011-12-0326,Washington Wizards,Detroit Pistons,196.5,1,110,-130,156,-2
729,2011-12-0326,Charlotte Bobcats,Boston Celtics,184,7,230,-270,197,-7
730,2011-12-0326,New York Knicks,Milwaukee Bucks,209,6,-200,170,169,9
731,2011-12-0326,New Jersey Nets,Utah Jazz,197,2.5,-130,110,189,-21
732,2011-12-0326,Chicago Bulls,Denver Nuggets,199,8,-360,300,199,-17
733,2011-12-0326,Houston Rockets,Sacramento Kings,208.5,6,-260,220,219,7
734,2011-12-0326,Los Angeles Clippers,New Orleans Pelicans,181.5,9.5,-700,500,182,12
735,2011-12-0327,Philadelphia 76ers,Cleveland Cavaliers,186,10,-500,400,188,18
736,2011-12-0327,Memphis Grizzlies,Minnesota Timberwolves,200,5.5,-200,170,179,7
737,2011-12-0327,Milwaukee Bucks,Atlanta Hawks,198.5,2,-140,120,209,7
738,2011-12-0327,Dallas Mavericks,Houston Rockets,193,6.5,-300,250,171,9
739,2011-12-0327,Phoenix Suns,San Antonio Spurs,200,2,110,-130,207,-7
740,2011-12-0327,Portland Trail Blazers,Oklahoma City Thunder,198.5,4.5,180,-220,204,-14
741,2011-12-0327,Golden State Warriors,Los Angeles Lakers,198,5.5,310,-380,205,-3
742,2011-12-0328,Charlotte Bobcats,Minnesota Timberwolves,199.5,6,180,-220,171,-5
743,2011-12-0328,Cleveland Cavaliers,Detroit Pistons,191.5,1,104,-115,162,-12
744,2011-12-0328,New York Knicks,Orlando Magic,189,1.5,110,-130,194,22
745,2011-12-0328,Toronto Raptors,Denver Nuggets,202,3.5,155,-175,201,9
746,2011-12-0328,New Jersey Nets,Indiana Pacers,193.5,5,210,-250,184,16
747,2011-12-0328,Boston Celtics,Utah Jazz,190.5,4.5,-160,140,176,12
748,2011-12-0328,Atlanta Hawks,Chicago Bulls,183,4,160,-180,175,-21
749,2011-12-0328,Sacramento Kings,San Antonio Spurs,212,4,155,-175,229,-5
750,2011-12-0328,Golden State Warriors,New Orleans Pelicans,190,3,-140,120,189,-15
751,2011-12-0328,Los Angeles Clippers,Phoenix Suns,195.5,6,-310,255,189,17
752,2011-12-0329,Indiana Pacers,Washington Wizards,194.5,10,-600,450,182,4
753,2011-12-0329,Miami Heat,Dallas Mavericks,189,8,-400,320,191,21
754,2011-12-0329,Portland Trail Blazers,New Orleans Pelicans,185,8.5,-470,370,192,6
755,2011-12-0329,Los Angeles Lakers,Oklahoma City Thunder,201,1,-116,105,195,-9
756,2011-12-0330,Toronto Raptors,Miami Heat,191.5,8,295,-355,214,-12
757,2011-12-0330,Washington Wizards,Philadelphia 76ers,186,8.5,345,-420,173,21
758,2011-12-0330,Charlotte Bobcats,Denver Nuggets,203.5,8,325,-400,187,-11
759,2011-12-0330,Cleveland Cavaliers,Milwaukee Bucks,204,5,170,-200,205,-37
760,2011-12-0330,Atlanta Hawks,New York Knicks,188,3.5,-150,130,190,10
761,2011-12-0330,Minnesota Timberwolves,Boston Celtics,191,1.5,100,-120,179,-21
762,2011-12-0330,Chicago Bulls,Detroit Pistons,182,12,-1000,700,154,12
763,2011-12-0330,Orlando Magic,Dallas Mavericks,186.5,5,-220,180,198,-2
764,2011-12-0330,Houston Rockets,Memphis Grizzlies,191.5,0,-125,105,187,9
765,2011-12-0330,Utah Jazz,Sacramento Kings,212.5,7.5,-350,290,207,-1
766,2011-12-0330,Golden State Warriors,New Jersey Nets,197,4.5,-165,145,202,-2
767,2011-12-0330,Los Angeles Clippers,Portland Trail Blazers,188,8,-600,450,195,1
768,2011-12-0331,Los Angeles Lakers,New Orleans Pelicans,186.5,12,-1620,1095,173,3
769,2011-12-0331,New York Knicks,Cleveland Cavaliers,192.5,9.5,-900,650,166,16
770,2011-12-0331,Philadelphia 76ers,Atlanta Hawks,179,6,-310,255,185,5
771,2011-12-0331,Detroit Pistons,Charlotte Bobcats,184,8,-350,290,217,3
772,2011-12-0331,Milwaukee Bucks,Memphis Grizzlies,203,1.5,-150,130,194,-4
773,2011-12-0331,San Antonio Spurs,Indiana Pacers,200,8,-380,310,215,9
774,2011-12-0331,Sacramento Kings,New Jersey Nets,209,6.5,-260,220,210,-12
775,2011-12-0331,Los Angeles Clippers,Utah Jazz,192,6,-220,180,201,9
776,2011-12-0401,Oklahoma City Thunder,Chicago Bulls,194,5,-275,235,170,14
777,2011-12-0401,Boston Celtics,Miami Heat,186.5,3,165,-190,163,19
778,2011-12-0401,Toronto Raptors,Washington Wizards,188,6,-280,240,191,7
779,2011-12-0401,Orlando Magic,Denver Nuggets,200.5,5.5,-165,145,205,-3
780,2011-12-0401,Houston Rockets,Indiana Pacers,193.5,3.5,-165,145,206,-2
781,2011-12-0401,Phoenix Suns,New Orleans Pelicans,191,11,-700,500,167,17
782,2011-12-0401,Portland Trail Blazers,Minnesota Timberwolves,196,1.5,-160,140,225,13
783,2011-12-0401,Los Angeles Lakers,Golden State Warriors,197,10.5,-720,520,232,8
784,2011-12-0402,Washington Wizards,Milwaukee Bucks,204.5,6,260,-320,210,-14
785,2011-12-0402,Chicago Bulls,Houston Rockets,187,8.5,-380,310,192,-6
786,2011-12-0402,Oklahoma City Thunder,Memphis Grizzlies,198,8,-340,280,182,-6
787,2011-12-0402,Dallas Mavericks,Los Angeles Clippers,189.5,4.5,-185,165,169,-19
788,2011-12-0402,Sacramento Kings,Minnesota Timberwolves,215,2,-160,140,224,8
789,2011-12-0402,Portland Trail Blazers,Utah Jazz,197,2.5,-135,115,199,-5
790,2011-12-0403,Cleveland Cavaliers,San Antonio Spurs,201,9.5,465,-655,215,-35
791,2011-12-0403,Indiana Pacers,New York Knicks,190.5,5,-245,195,216,8
792,2011-12-0403,Toronto Raptors,Charlotte Bobcats,187.5,9,-635,445,179,5
793,2011-12-0403,Detroit Pistons,Orlando Magic,184,5.5,-105,-115,197,7
794,2011-12-0403,Miami Heat,Philadelphia 76ers,184,9,-325,265,192,6
795,2011-12-0403,Memphis Grizzlies,Golden State Warriors,198.5,9,-320,260,192,4
796,2011-12-0403,Sacramento Kings,Phoenix Suns,215,1,125,-145,209,-9
797,2011-12-0403,Los Angeles Lakers,New Jersey Nets,195,10.5,-435,345,178,4
798,2011-12-0404,Washington Wizards,Indiana Pacers,193,6,210,-250,205,-13
799,2011-12-0404,Philadelphia 76ers,Toronto Raptors,183,8.5,-430,335,177,-21
800,2011-12-0404,Boston Celtics,San Antonio Spurs,192,1,-107,-103,173,-1
801,2011-12-0404,Atlanta Hawks,Charlotte Bobcats,185.5,13,-1425,1000,213,27
802,2011-12-0404,Miami Heat,Oklahoma City Thunder,197,3,-145,125,191,5
803,2011-12-0404,New Orleans Pelicans,Denver Nuggets,196,4.5,170,-200,186,2
804,2011-12-0404,Minnesota Timberwolves,Golden State Warriors,206,6.5,-250,210,191,-3
805,2011-12-0404,Milwaukee Bucks,Cleveland Cavaliers,205,11,-950,675,205,9
806,2011-12-0404,Dallas Mavericks,Memphis Grizzlies,184.5,6,-240,200,180,10
807,2011-12-0404,Utah Jazz,Phoenix Suns,201,5.5,-250,210,212,-2
808,2011-12-0404,Portland Trail Blazers,New Jersey Nets,196.5,8,-500,400,189,13
809,2011-12-0404,Los Angeles Clippers,Los Angeles Lakers,188,3,-140,120,221,-5
810,2011-12-0405,Orlando Magic,New York Knicks,188,3,-145,125,176,-16
811,2011-12-0405,Detroit Pistons,Washington Wizards,190,7.5,-375,305,193,5
812,2011-12-0405,Chicago Bulls,Boston Celtics,176.5,8,-270,230,179,7
813,2011-12-0405,Sacramento Kings,Los Angeles Clippers,206,2.5,130,-150,178,-8
814,2011-12-0406,Indiana Pacers,Oklahoma City Thunder,200,3,150,-170,201,5
815,2011-12-0406,New Jersey Nets,Washington Wizards,196,8,-360,300,208,12
816,2011-12-0406,Atlanta Hawks,Detroit Pistons,186,9,-520,410,197,5
817,2011-12-0406,Miami Heat,Memphis Grizzlies,189,8,-400,320,179,-15
818,2011-12-0406,Toronto Raptors,Cleveland Cavaliers,190,7.5,-350,290,164,-4
819,2011-12-0406,San Antonio Spurs,New Orleans Pelicans,193,12,-850,625,231,25
820,2011-12-0406,Milwaukee Bucks,Charlotte Bobcats,202,13.5,-1500,1025,185,5
821,2011-12-0406,Dallas Mavericks,Portland Trail Blazers,191,6.5,-260,220,196,-2
822,2011-12-0406,Denver Nuggets,Phoenix Suns,210.5,3.5,-155,135,204,6
823,2011-12-0406,Utah Jazz,Golden State Warriors,203,8,-360,300,202,6
824,2011-12-0406,Los Angeles Lakers,Houston Rockets,194,6,-270,230,219,-5
825,2011-12-0407,Charlotte Bobcats,Atlanta Hawks,187.5,9,330,-420,212,-20
826,2011-12-0407,Indiana Pacers,Boston Celtics,187,2,-130,110,158,-14
827,2011-12-0407,Philadelphia 76ers,Orlando Magic,180,4.5,-250,210,170,-6
828,2011-12-0407,New Orleans Pelicans,Minnesota Timberwolves,190,2.5,125,-145,189,9
829,2011-12-0407,Memphis Grizzlies,Dallas Mavericks,183,3.5,-180,160,183,5
830,2011-12-0407,Milwaukee Bucks,Portland Trail Blazers,204,4.5,-200,170,210,22
831,2011-12-0407,Phoenix Suns,Los Angeles Lakers,197.5,1,-130,110,230,20
832,2011-12-0407,Los Angeles Clippers,Sacramento Kings,205.5,8.5,-400,320,203,15
833,2011-12-0407,Golden State Warriors,Denver Nuggets,210.5,3.5,135,-155,209,15
834,2011-12-0408,New York Knicks,Chicago Bulls,186,2.5,135,-155,199,1
835,2011-12-0408,New Jersey Nets,Cleveland Cavaliers,193.5,7,-350,290,239,5
836,2011-12-0408,Boston Celtics,Philadelphia 76ers,176.5,4,-170,150,182,24
837,2011-12-0408,Miami Heat,Detroit Pistons,189.5,12.5,-975,685,173,23
838,2011-12-0408,Oklahoma City Thunder,Toronto Raptors,197,13,-1100,816,166,16
839,2011-12-0408,San Antonio Spurs,Utah Jazz,208,10,-550,425,218,10
840,2011-12-0408,Sacramento Kings,Houston Rockets,208,3,150,-170,191,-17
841,2011-12-0409,Indiana Pacers,Toronto Raptors,189.5,9.5,-700,500,201,5
842,2011-12-0409,Orlando Magic,Detroit Pistons,184,8.5,-325,265,208,30
843,2011-12-0409,Charlotte Bobcats,Washington Wizards,194.5,1.5,-125,105,198,-28
844,2011-12-0409,New Orleans Pelicans,Los Angeles Lakers,186,2,150,-170,184,-2
845,2011-12-0409,Memphis Grizzlies,Los Angeles Clippers,186,4,-180,160,179,9
846,2011-12-0409,Milwaukee Bucks,Oklahoma City Thunder,210,3,130,-150,198,-20
847,2011-12-0409,Denver Nuggets,Golden State Warriors,211,9,-450,350,207,39
848,2011-12-0409,Minnesota Timberwolves,Phoenix Suns,208.5,0,125,-145,204,-24
849,2011-12-0409,Utah Jazz,San Antonio Spurs,209.5,3.5,-175,155,175,7
850,2011-12-0409,Portland Trail Blazers,Houston Rockets,196,3.5,-145,125,183,-5
851,2011-12-0410,Washington Wizards,Orlando Magic,194.5,5.5,175,-210,178,8
852,2011-12-0410,Miami Heat,Boston Celtics,183,7.5,-350,290,222,-8
853,2011-12-0410,Cleveland Cavaliers,Charlotte Bobcats,191.5,5.5,-280,240,193,13
854,2011-12-0410,New Jersey Nets,Philadelphia 76ers,187,4.5,220,-260,195,-19
855,2011-12-0410,Dallas Mavericks,Sacramento Kings,203,9.5,-600,450,210,10
856,2011-12-0410,Chicago Bulls,New York Knicks,185.5,9,-300,250,184,12
857,2011-12-0411,Toronto Raptors,Philadelphia 76ers,180,3.5,165,-190,168,-18
858,2011-12-0411,Cleveland Cavaliers,Indiana Pacers,194,7.5,400,-500,202,-6
859,2011-12-0411,Boston Celtics,Atlanta Hawks,180,3.5,-140,120,174,2
860,2011-12-0411,Milwaukee Bucks,New York Knicks,201,4,-175,155,218,-4
861,2011-12-0411,Houston Rockets,Utah Jazz,198,5.5,-260,220,194,-12
862,2011-12-0411,New Orleans Pelicans,Sacramento Kings,197.5,2.5,-140,120,201,9
863,2011-12-0411,Memphis Grizzlies,Phoenix Suns,195,5.5,-220,180,197,11
864,2011-12-0411,Oklahoma City Thunder,Los Angeles Clippers,197.5,8,-360,300,198,-2
865,2011-12-0411,San Antonio Spurs,Los Angeles Lakers,201.5,9.5,-600,450,182,-14
866,2011-12-0411,Denver Nuggets,Minnesota Timberwolves,214.5,8.5,-450,350,220,6
867,2011-12-0411,Portland Trail Blazers,Golden State Warriors,197.5,4,-175,155,228,8
868,2011-12-0412,Charlotte Bobcats,Detroit Pistons,187,5,190,-230,194,-24
869,2011-12-0412,Chicago Bulls,Miami Heat,186.5,2,-140,120,182,10
870,2011-12-0412,Minnesota Timberwolves,Los Angeles Clippers,196,5,310,-380,177,-13
871,2011-12-0412,San Antonio Spurs,Memphis Grizzlies,198,6,-240,200,204,10
872,2011-12-0412,Golden State Warriors,Dallas Mavericks,195,6,235,-275,215,-9
873,2011-12-0413,Indiana Pacers,Cleveland Cavaliers,193.5,12,-900,650,185,19
874,2011-12-0413,Orlando Magic,Atlanta Hawks,181,1,120,-140,190,-28
875,2011-12-0413,Toronto Raptors,Boston Celtics,178,6,300,-360,163,5
876,2011-12-0413,Philadelphia 76ers,New Jersey Nets,188.5,11,-800,600,184,-6
877,2011-12-0413,New York Knicks,Washington Wizards,197,10.5,-730,530,168,38
878,2011-12-0413,Miami Heat,Charlotte Bobcats,193.5,16,-6000,2750,187,23
879,2011-12-0413,Houston Rockets,Phoenix Suns,199,4,-175,155,217,-7
880,2011-12-0413,Oklahoma City Thunder,Sacramento Kings,213.5,14,-1600,1075,204,26
881,2011-12-0413,Detroit Pistons,Milwaukee Bucks,201,4.5,175,-210,210,-16
882,2011-12-0413,New Orleans Pelicans,Utah Jazz,192.5,4.5,155,-175,181,11
883,2011-12-0413,Portland Trail Blazers,Dallas Mavericks,191,2,160,-180,191,-3
884,2011-12-0413,Los Angeles Lakers,Denver Nuggets,201,4,-170,150,200,6
885,2011-12-0414,Los Angeles Clippers,Golden State Warriors,196,10,-900,650,216,8
886,2011-12-0414,Washington Wizards,Cleveland Cavaliers,196.5,4,-230,190,187,-9
887,2011-12-0414,New Jersey Nets,Boston Celtics,184.5,7,260,-320,176,-12
888,2011-12-0414,Memphis Grizzlies,Utah Jazz,192,8,-500,400,201,5
889,2011-12-0414,Minnesota Timberwolves,Oklahoma City Thunder,204.5,10.5,650,-900,225,-5
890,2011-12-0414,Milwaukee Bucks,Indiana Pacers,206.5,3.5,-150,130,204,-6
891,2011-12-0414,San Antonio Spurs,Phoenix Suns,208.5,8.5,-420,330,196,14
892,2011-12-0415,New York Knicks,Miami Heat,190.5,3,130,-150,178,-8
893,2011-12-0415,Los Angeles Lakers,Dallas Mavericks,190.5,2,-130,110,220,4
894,2011-12-0415,Atlanta Hawks,Toronto Raptors,184.5,8.5,-600,450,188,-16
895,2011-12-0415,Detroit Pistons,Chicago Bulls,184,8,435,-575,194,-6
896,2011-12-0415,Cleveland Cavaliers,Orlando Magic,190.5,5.5,230,-270,184,-16
897,2011-12-0415,Charlotte Bobcats,Boston Celtics,183.5,8.5,240,-280,176,-12
898,2011-12-0415,Sacramento Kings,Portland Trail Blazers,207.5,2.5,-145,125,207,1
899,2011-12-0415,New Orleans Pelicans,Memphis Grizzlies,182,4,170,-200,163,13
900,2011-12-0415,Denver Nuggets,Houston Rockets,207.5,4.5,-155,135,187,15
901,2011-12-0416,Charlotte Bobcats,New Orleans Pelicans,185,4.5,230,-270,142,-8
902,2011-12-0416,Indiana Pacers,Minnesota Timberwolves,198.5,10,-750,550,199,23
903,2011-12-0416,Orlando Magic,Philadelphia 76ers,181,2.5,230,-270,213,13
904,2011-12-0416,Toronto Raptors,Atlanta Hawks,182.5,4.5,200,-240,196,-22
905,2011-12-0416,New Jersey Nets,Miami Heat,192,8.5,400,-500,199,-3
906,2011-12-0416,Chicago Bulls,Washington Wizards,189.5,13.5,-950,675,171,-3
907,2011-12-0416,Houston Rockets,Denver Nuggets,208.5,4,-180,160,207,-3
908,2011-12-0416,Phoenix Suns,Portland Trail Blazers,200,9,-800,600,232,18
909,2011-12-0416,Utah Jazz,Dallas Mavericks,192.5,3.5,-170,150,244,2
910,2011-12-0416,Golden State Warriors,San Antonio Spurs,209.5,10.5,450,-600,219,-21
911,2011-12-0416,Los Angeles Clippers,Oklahoma City Thunder,198,2.5,135,-155,169,15
912,2011-12-0417,Philadelphia 76ers,Indiana Pacers,184.5,3.5,-155,135,199,-5
913,2011-12-0417,Detroit Pistons,Cleveland Cavaliers,189.5,6.5,-320,260,193,39
914,2011-12-0417,Minnesota Timberwolves,Memphis Grizzlies,194,7,390,-490,175,-7
915,2011-12-0417,New York Knicks,Boston Celtics,182,3,-155,135,228,8
916,2011-12-0417,Los Angeles Lakers,San Antonio Spurs,200,3,125,-145,203,-21
917,2011-12-0418,Charlotte Bobcats,Chicago Bulls,180,12,385,-450,168,-32
918,2011-12-0418,Washington Wizards,Milwaukee Bucks,204.5,8.5,330,-420,233,9
919,2011-12-0418,Cleveland Cavaliers,Philadelphia 76ers,184.5,7.5,380,-480,190,-16
920,2011-12-0418,Atlanta Hawks,Detroit Pistons,189,10,-520,410,200,32
921,2011-12-0418,New Jersey Nets,New York Knicks,192,7.5,320,-400,199,-9
922,2011-12-0418,Miami Heat,Toronto Raptors,188.5,11.5,-600,450,168,24
923,2011-12-0418,Memphis Grizzlies,New Orleans Pelicans,181,8.5,-550,425,194,12
924,2011-12-0418,Boston Celtics,Orlando Magic,179,4.5,-200,170,200,4
925,2011-12-0418,Dallas Mavericks,Houston Rockets,192,5,-200,170,227,7
926,2011-12-0418,Denver Nuggets,Los Angeles Clippers,202,2.5,-155,135,202,-6
927,2011-12-0418,Phoenix Suns,Oklahoma City Thunder,207,3.5,155,-175,206,-12
928,2011-12-0418,Sacramento Kings,San Antonio Spurs,213,3,175,-210,229,-25
929,2011-12-0418,Portland Trail Blazers,Utah Jazz,198,3.5,175,-210,203,-21
930,2011-12-0418,Golden State Warriors,Los Angeles Lakers,205,6.5,255,-310,186,-12
931,2011-12-0419,Indiana Pacers,Milwaukee Bucks,205,5,-240,200,227,9
932,2011-12-0419,Detroit Pistons,Minnesota Timberwolves,196,5.5,-210,175,171,-11
933,2011-12-0419,New Orleans Pelicans,Houston Rockets,198.5,3,210,-250,204,6
934,2011-12-0419,Miami Heat,Chicago Bulls,183,5,-280,240,155,11
935,2011-12-0419,Phoenix Suns,Los Angeles Clippers,198.5,2,-130,110,183,3
936,2011-12-0420,Charlotte Bobcats,Memphis Grizzlies,182,12,1300,-2200,165,-5
937,2011-12-0420,Atlanta Hawks,Boston Celtics,180,6.5,-650,475,189,5
938,2011-12-0420,Cleveland Cavaliers,New York Knicks,195,8.5,475,-650,188,8
939,2011-12-0420,Dallas Mavericks,Golden State Warriors,200.5,12,-975,685,198,10
940,2011-12-0420,San Antonio Spurs,Los Angeles Lakers,202.5,6,-260,220,218,24
